indicador,Empresa,Industria,seccion,company
Ratio Precio/UtilidadTTM,"109,87","34,38",Ratios_valoración,tesla-motors
Precio/VentasTTM,"12,32","2,66",Ratios_valoración,tesla-motors
Precio/Flujo de cajaMRQ,"80,68","18,96",Ratios_valoración,tesla-motors
Precio/Flujo de caja libreTTM,"-1.456,09","69,88",Ratios_valoración,tesla-motors
Precio/Valor ContableMRQ,"16,51","4,01",Ratios_valoración,tesla-motors
Precio/Valor Contable NetoMRQ,"16,6","3,36",Ratios_valoración,tesla-motors
Margen brutoTTM,"17,86%","17,62%",Rentabilidad,tesla-motors
Margen bruto5YA,"21,6%","14,31%",Rentabilidad,tesla-motors
Margen operativoTTM,"7,84%","2,99%",Rentabilidad,tesla-motors
Margen operativo5YA,"10,43%","-226,67%",Rentabilidad,tesla-motors
Margen Antes de ImpuestosTTM,"9,2%","3,26%",Rentabilidad,tesla-motors
Margen Antes de Impuestos5YA,"10,36%","-258,13%",Rentabilidad,tesla-motors
Margen de utilidad netoTTM,"7,26%","1,59%",Rentabilidad,tesla-motors
Margen de utilidad neto5YA,"10,14%","-238,58%",Rentabilidad,tesla-motors
Beneficio/AcciónTTM,"30,56","9.189,6",Datos_por_acción,tesla-motors
BPA BásicoANN,"2,23","574,15",Datos_por_acción,tesla-motors
BPA DiluidoANN,"2,04","491,57",Datos_por_acción,tesla-motors
Ratio Bolsa/LibrosMRQ,"22,67","5.259,98",Datos_por_acción,tesla-motors
Valor Contable Neto/AcciónMRQ,"22,55","4.267,63",Datos_por_acción,tesla-motors
Efectivo/AcciónMRQ,"5,02","887,41",Datos_por_acción,tesla-motors
Flujo de caja/AcciónTTM,"4,27","-155,73",Datos_por_acción,tesla-motors
Rentabilidad sobre fondos propiosTTM,"10,42%","11,9%",Eficacia_gestión,tesla-motors
Rentabilidad sobre la inversión5YA,"19,22%","8,7%",Eficacia_gestión,tesla-motors
Rentabilidad sobre los activosTTM,"4,19%","4,51%",Eficacia_gestión,tesla-motors
Rentabilidad sobre los activos5YA,"6,37%","4,73%",Eficacia_gestión,tesla-motors
Rentabilidad sobre la inversiónTTM,"5,97%","7,1%",Eficacia_gestión,tesla-motors
Rentabilidad sobre fondos propios5YA,"9,61%","6,85%",Eficacia_gestión,tesla-motors
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"-70,9%","1,21%",Crecimiento,tesla-motors
BPA(TTM) vs TTM 1 Año AtrásTTM,"-52,56%","9,14%",Crecimiento,tesla-motors
Crecimiento del BPA en 5 Años5YA,"44,22%","14,22%",Crecimiento,tesla-motors
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"2,15%","6,4%",Crecimiento,tesla-motors
Ventas (TTM) vs TTM 1 Año AtrásTTM,"0,95%","8,85%",Crecimiento,tesla-motors
Crecimiento de las Ventas en 5 Años5YA,"31,78%","16,11%",Crecimiento,tesla-motors
Crecimiento del Consumo de Capital en 5 Años5YA,"51,27%","20,02%",Crecimiento,tesla-motors
Test ácidoMRQ,"1,43","0,88",Fuerza_financiera,tesla-motors
Ratio de solvenciaMRQ,"2,02","1,54",Fuerza_financiera,tesla-motors
Deuda a largo plazo/Total fondos propiosMRQ,"7,51%","27,11%",Fuerza_financiera,tesla-motors
Total deuda/Total fondos propiosMRQ,"18,49%","68,63%",Fuerza_financiera,tesla-motors
Rotación de ActivosTTM,"0,85","0,76",Eficiencia,tesla-motors
Rotación de InventariosTTM,"6,26","5,87",Eficiencia,tesla-motors
Ingresos /EmpleadoTTM,"0,78","36,95",Eficiencia,tesla-motors
Beneficio neto/EmpleadoTTM,"0,06","-11,29",Eficiencia,tesla-motors
Rotación de Cuentas a CobrarTTM,"25,8","23,42",Eficiencia,tesla-motors
Rentabilidad por DividendoANN,-,"1,37%",Dividendo,tesla-motors
Promedio de Rendimiento del Dividendo en 5 Años5YA,0%,"2,38%",Dividendo,tesla-motors
Tasa de Crecimiento de los DividendosANN,-,"50,28%",Dividendo,tesla-motors
Ratio PayoutTTM,-,"18,63%",Dividendo,tesla-motors
