indicador,Empresa,Industria,seccion,company
Ratio Precio/UtilidadTTM,"31,95","29,9",Ratios_valoración,visa-inc
Precio/VentasTTM,"18,32","12,26",Ratios_valoración,visa-inc
Precio/Flujo de cajaMRQ,"31,03","20,19",Ratios_valoración,visa-inc
Precio/Flujo de caja libreTTM,"48,53","62,27",Ratios_valoración,visa-inc
Precio/Valor ContableMRQ,"18,05","13,77",Ratios_valoración,visa-inc
Precio/Valor Contable NetoMRQ,"-83,87","21,9",Ratios_valoración,visa-inc
Margen brutoTTM,"97,82%","65,28%",Rentabilidad,visa-inc
Margen bruto5YA,"97,34%","60,24%",Rentabilidad,visa-inc
Margen operativoTTM,"66,59%","23,36%",Rentabilidad,visa-inc
Margen operativo5YA,"66,23%","2,02%",Rentabilidad,visa-inc
Margen Antes de ImpuestosTTM,"65,41%","21,3%",Rentabilidad,visa-inc
Margen Antes de Impuestos5YA,"64,53%","-3,76%",Rentabilidad,visa-inc
Margen de utilidad netoTTM,"54,27%","16,89%",Rentabilidad,visa-inc
Margen de utilidad neto5YA,"51,94%","-8,01%",Rentabilidad,visa-inc
Beneficio/AcciónTTM,"19,66","65,3",Datos_por_acción,visa-inc
BPA BásicoANN,"10,34","10,92",Datos_por_acción,visa-inc
BPA DiluidoANN,"9,73","10,72",Datos_por_acción,visa-inc
Ratio Bolsa/LibrosMRQ,"19,13","54,14",Datos_por_acción,visa-inc
Valor Contable Neto/AcciónMRQ,"-4,12","31,82",Datos_por_acción,visa-inc
Efectivo/AcciónMRQ,"6,33","15,08",Datos_por_acción,visa-inc
Flujo de caja/AcciónTTM,"10,79","18,06",Datos_por_acción,visa-inc
Rentabilidad sobre fondos propiosTTM,"51,19%","9,11%",Eficacia_gestión,visa-inc
Rentabilidad sobre la inversión5YA,"40,42%","39,26%",Eficacia_gestión,visa-inc
Rentabilidad sobre los activosTTM,"16,71%","15,43%",Eficacia_gestión,visa-inc
Rentabilidad sobre los activos5YA,"13,98%","11,78%",Eficacia_gestión,visa-inc
Rentabilidad sobre la inversiónTTM,"25,67%","21,27%",Eficacia_gestión,visa-inc
Rentabilidad sobre fondos propios5YA,"20,17%","16,75%",Eficacia_gestión,visa-inc
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"7,85%","60,49%",Crecimiento,visa-inc
BPA(TTM) vs TTM 1 Año AtrásTTM,"14,18%","55,39%",Crecimiento,visa-inc
Crecimiento del BPA en 5 Años5YA,"12,85%","16,37%",Crecimiento,visa-inc
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"10,15%","13,75%",Crecimiento,visa-inc
Ventas (TTM) vs TTM 1 Año AtrásTTM,"10,35%","14,78%",Crecimiento,visa-inc
Crecimiento de las Ventas en 5 Años5YA,"9,35%","17,73%",Crecimiento,visa-inc
Crecimiento del Consumo de Capital en 5 Años5YA,"10,7%","12,09%",Crecimiento,visa-inc
Test ácidoMRQ,"0,71","1,67",Fuerza_financiera,visa-inc
Ratio de solvenciaMRQ,"1,12","1,92",Fuerza_financiera,visa-inc
Deuda a largo plazo/Total fondos propiosMRQ,"43,56%","50,65%",Fuerza_financiera,visa-inc
Total deuda/Total fondos propiosMRQ,"53,82%","61,81%",Fuerza_financiera,visa-inc
Rotación de ActivosTTM,"0,4","0,65",Eficiencia,visa-inc
Rotación de InventariosTTM,-,"43,16",Eficiencia,visa-inc
Ingresos /EmpleadoTTM,"1,16","1,99",Eficiencia,visa-inc
Beneficio neto/EmpleadoTTM,"0,63","0,47",Eficiencia,visa-inc
Rotación de Cuentas a CobrarTTM,"6,51","11,05",Eficiencia,visa-inc
Rentabilidad por DividendoANN,"0,62%","0,43%",Dividendo,visa-inc
Promedio de Rendimiento del Dividendo en 5 Años5YA,"0,5%","0,49%",Dividendo,visa-inc
Tasa de Crecimiento de los DividendosANN,"13,46%","3,27%",Dividendo,visa-inc
Ratio PayoutTTM,"21,67%","17,04%",Dividendo,visa-inc
