indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,386.064,469.822,513.983,574.785,637.959,amazon-com-inc
Crecimiento de los ingresos totales,"+37,62%","+21,7%","+9,4%","+11,83%","+10,99%",amazon-com-inc
Coste de los ingresos,233.307,272.344,288.831,304.739,326.288,amazon-com-inc
Beneficio bruto,152.757,197.478,225.152,270.046,311.671,amazon-com-inc
Crecimiento del beneficio bruto,"+32,85%","+29,28%","+14,01%","+19,94%","+15,41%",amazon-com-inc
Margen de beneficio bruto %,"39,57%","42,03%","43,81%","46,98%","48,85%",amazon-com-inc
Total de otros gastos operativos,129.858,172.599,211.804,233.194,243.078,amazon-com-inc
Crecmiento total de otros gastos operativos,,,,,,amazon-com-inc
Gastos de I+D,,,,,,amazon-com-inc
"Gastos de venta, generales y administrativos",,,,,,amazon-com-inc
Otros gastos operativos,,,,,,amazon-com-inc
Margen neto,22.899,24.879,13.348,36.852,68.593,amazon-com-inc
Crecimiento del margen neto,"+57,48%","+8,65%","-46,35%","+176,09%","+86,13%",amazon-com-inc
Margen EBIT %,"5,93%","5,3%","2,6%","6,41%","10,75%",amazon-com-inc
Gastos netos por intereses,-1.092,-1.361,-1.378,-233,2.271,amazon-com-inc
Crecimiento de gastos netos por intereses,"-42,19%","-24,63%","-1,25%","+83,09%","+1.074,68%",amazon-com-inc
Total de gastos de intereses,-1.647,-1.809,-2.367,-3.182,-2.406,amazon-com-inc
Ingresos por intereses e inversiones,555,448,989,2.949,4.677,amazon-com-inc
Total de otros gastos no operativos,-7,-70,-883,-124,-930,amazon-com-inc
EBT excepto elementos no habituales,21.800,23.448,11.087,36.495,69.934,amazon-com-inc
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,amazon-com-inc
Total de otras partidas no habituales,-,-,-1.100,-,-,amazon-com-inc
EBT incluyendo las partidas inusuales,24.194,38.155,-5.939,37.545,68.513,amazon-com-inc
Crecimiento del EBT incluidas las partidas inusuales,"+73,28%","+57,7%","-115,57%","+732,18%","+82,48%",amazon-com-inc
Margen del EBT incluidas las partidas inusuales,"6,27%","8,12%","-1,16%","6,53%","10,74%",amazon-com-inc
Impuesto sobre la renta,2.863,4.791,-3.217,7.120,9.265,amazon-com-inc
Beneficios netos para la empresa,21.331,33.364,-2.722,30.425,59.248,amazon-com-inc
Intereses minoritarios,-,-,-,-,-,amazon-com-inc
Beneficio neto,21.331,33.364,-2.722,30.425,59.248,amazon-com-inc
Crecimiento del beneficio neto,"+84,08%","+56,41%","-108,16%","+1.217,74%","+94,73%",amazon-com-inc
Margen del beneficio neto %,"5,53%","7,1%","-0,53%","5,29%","9,29%",amazon-com-inc
Dividendo preferente y otros ajustes,-,-,-,-,-,amazon-com-inc
Beneficio neto sobre ingresos ordinarios,21.331,33.364,-2.722,30.425,59.248,amazon-com-inc
BPA básico: Crecimiento de actividades continuadas,"2,13","3,3","-0,27","2,95","5,66",amazon-com-inc
BPA básico: crecimiento de actividades continuadas,"+81,78%","+54,68%","-108,1%","+1.205,27%","+91,59%",amazon-com-inc
BPA diluido: Crecimiento de actividades continuadas,"2,09","3,24","-0,27","2,9","5,53",amazon-com-inc
BPA diluido: Actividades continuadas,"+81,66%","+55,02%","-108,33%","+1.174,07%","+90,69%",amazon-com-inc
Promedio ponderado básico de acciones en circulación,10.005,10.117,10.189,10.304,10.473,amazon-com-inc
Promedio ponderado diluido de acciones en circulación,10.198,10.296,10.189,10.492,10.721,amazon-com-inc
Dividendo por acción,-,-,-,-,-,amazon-com-inc
Crecimiento del dividendo por acción,-,-,-,-,-,amazon-com-inc
EBITDA,48.079,59.312,55.269,85.515,120.468,amazon-com-inc
Crecimiento del EBITDA,"+32,34%","+23,36%","-6,82%","+54,73%","+40,87%",amazon-com-inc
Margen EBITDA %,"12,45%","12,62%","10,75%","14,88%","18,88%",amazon-com-inc
EBIT,22.899,24.879,13.348,36.852,68.593,amazon-com-inc
