indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,33.014,38.655,43.004,45.754,47.061,coca-cola-co
Crecimiento de los ingresos totales,"-11,41%","+17,09%","+11,25%","+6,39%","+2,86%",coca-cola-co
Coste de los ingresos,13.433,15.357,18.000,18.520,18.324,coca-cola-co
Beneficio bruto,19.581,23.298,25.004,27.234,28.737,coca-cola-co
Crecimiento del beneficio bruto,"-13,54%","+18,98%","+7,32%","+8,92%","+5,52%",coca-cola-co
Margen de beneficio bruto %,"59,31%","60,27%","58,14%","59,52%","61,06%",coca-cola-co
Total de otros gastos operativos,9.589,11.865,12.663,13.988,14.436,coca-cola-co
Crecmiento total de otros gastos operativos,,,,,,coca-cola-co
Gastos de I+D,,,,,,coca-cola-co
"Gastos de venta, generales y administrativos",,,,,,coca-cola-co
Otros gastos operativos,,,,,,coca-cola-co
Margen neto,9.992,11.433,12.341,13.246,14.301,coca-cola-co
Crecimiento del margen neto,"-6,01%","+14,42%","+7,94%","+7,33%","+7,96%",coca-cola-co
Margen EBIT %,"30,27%","29,58%","28,7%","28,95%","30,39%",coca-cola-co
Gastos netos por intereses,-1.067,-1.321,-433,-412,-463,coca-cola-co
Crecimiento de gastos netos por intereses,"-178,59%","-23,81%","+67,22%","+4,85%","-12,38%",coca-cola-co
Total de gastos de intereses,-1.437,-1.597,-882,-1.527,-1.656,coca-cola-co
Ingresos por intereses e inversiones,370,276,449,1.115,1.193,coca-cola-co
Total de otros gastos no operativos,946,1.435,1.329,1.319,1.483,coca-cola-co
EBT excepto elementos no habituales,9.871,11.547,13.237,14.153,15.321,coca-cola-co
Ganancia (pérdida) de la venta de activos,-,-,153,439,891,coca-cola-co
Total de otras partidas no habituales,-108,-465,-1.058,-1.711,-4.070,coca-cola-co
EBT incluyendo las partidas inusuales,9.749,12.425,11.686,12.952,13.086,coca-cola-co
Crecimiento del EBT incluidas las partidas inusuales,"-9,61%","+27,45%","-5,95%","+10,83%","+1,03%",coca-cola-co
Margen del EBT incluidas las partidas inusuales,"29,53%","32,14%","27,17%","28,31%","27,81%",coca-cola-co
Impuesto sobre la renta,1.981,2.621,2.115,2.249,2.437,coca-cola-co
Beneficios netos para la empresa,7.768,9.804,9.571,10.703,10.649,coca-cola-co
Intereses minoritarios,-21,-33,-29,11,-18,coca-cola-co
Beneficio neto,7.747,9.771,9.542,10.714,10.631,coca-cola-co
Crecimiento del beneficio neto,"-13,15%","+26,13%","-2,34%","+12,28%","-0,77%",coca-cola-co
Margen del beneficio neto %,"23,47%","25,28%","22,19%","23,42%","22,59%",coca-cola-co
Dividendo preferente y otros ajustes,-,-,-,-,-,coca-cola-co
Beneficio neto sobre ingresos ordinarios,7.747,9.771,9.542,10.714,10.631,coca-cola-co
BPA básico: Crecimiento de actividades continuadas,"1,8","2,26","2,2","2,48","2,47",coca-cola-co
BPA básico: crecimiento de actividades continuadas,"-13,53%","+25,54%","-2,64%","+12,41%","-0,45%",coca-cola-co
BPA diluido: Crecimiento de actividades continuadas,"1,79","2,25","2,19","2,47","2,46",coca-cola-co
BPA diluido: Actividades continuadas,"-13,53%","+25,7%","-2,67%","+12,79%","-0,4%",coca-cola-co
Promedio ponderado básico de acciones en circulación,4.295,4.315,4.328,4.323,4.309,coca-cola-co
Promedio ponderado diluido de acciones en circulación,4.323,4.340,4.350,4.339,4.320,coca-cola-co
Dividendo por acción,"1,64","1,68","1,76","1,84","1,94",coca-cola-co
Crecimiento del dividendo por acción,"+2,5%","+2,44%","+4,76%","+4,55%","+5,43%",coca-cola-co
EBITDA,11.528,12.885,13.601,14.374,15.376,coca-cola-co
Crecimiento del EBITDA,"-3,9%","+11,77%","+5,56%","+5,68%","+6,97%",coca-cola-co
Margen EBITDA %,"34,92%","33,33%","31,63%","31,42%","32,67%",coca-cola-co
EBIT,9.992,11.433,12.341,13.246,14.301,coca-cola-co
