indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,41.651,81.288,101.175,59.554,63.627,pfizer
Crecimiento de los ingresos totales,"+1,82%","+95,16%","+24,46%","-41,14%","+6,84%",pfizer
Coste de los ingresos,8.385,30.686,34.097,23.989,16.420,pfizer
Beneficio bruto,33.266,50.602,67.078,35.565,47.207,pfizer
Crecimiento del beneficio bruto,"+0,63%","+52,11%","+32,56%","-46,98%","+32,73%",pfizer
Margen de beneficio bruto %,"79,87%","62,25%","66,3%","59,72%","74,19%",pfizer
Total de otros gastos operativos,23.475,23.622,27.237,29.248,30.879,pfizer
Crecmiento total de otros gastos operativos,,,,,,pfizer
Gastos de I+D,,,,,,pfizer
"Gastos de venta, generales y administrativos",,,,,,pfizer
Otros gastos operativos,,,,,,pfizer
Margen neto,9.791,26.980,39.841,6.317,16.328,pfizer
Crecimiento del margen neto,"+20,25%","+175,56%","+47,67%","-84,14%","+158,48%",pfizer
Margen EBIT %,"23,51%","33,19%","39,38%","10,61%","25,66%",pfizer
Gastos netos por intereses,-1.098,-1.089,-673,-109,-2.274,pfizer
Crecimiento de gastos netos por intereses,"+2,66%","+0,82%","+38,2%","+83,8%","-1.986,24%",pfizer
Total de gastos de intereses,-1.449,-1.291,-1.238,-2.209,-3.091,pfizer
Ingresos por intereses e inversiones,351,202,565,2.100,817,pfizer
Total de otros gastos no operativos,1.937,2.375,1.057,886,775,pfizer
EBT excepto elementos no habituales,10.630,28.266,40.225,7.094,14.829,pfizer
Ganancia (pérdida) de la venta de activos,-237,-,-,222,-,pfizer
Total de otras partidas no habituales,-3.019,-3.848,-1.998,-3.849,-3.775,pfizer
EBT incluyendo las partidas inusuales,7.036,24.310,34.729,1.058,8.023,pfizer
Crecimiento del EBT incluidas las partidas inusuales,"-37,84%","+245,51%","+42,86%","-96,95%","+658,32%",pfizer
Margen del EBT incluidas las partidas inusuales,"16,89%","29,91%","34,33%","1,78%","12,61%",pfizer
Impuesto sobre la renta,370,1.852,3.328,-1.115,-28,pfizer
Beneficios netos para la empresa,9.195,22.024,31.407,2.158,8.062,pfizer
Intereses minoritarios,-36,-45,-35,-39,-31,pfizer
Beneficio neto,9.159,21.979,31.372,2.119,8.031,pfizer
Crecimiento del beneficio neto,"-42,85%","+139,97%","+42,74%","-93,25%",+279%,pfizer
Margen del beneficio neto %,"21,99%","27,04%","31,01%","3,56%","12,62%",pfizer
Dividendo preferente y otros ajustes,-,-,-,-,-,pfizer
Beneficio neto sobre ingresos ordinarios,6.630,22.413,31.366,2.134,8.020,pfizer
BPA básico: Crecimiento de actividades continuadas,"1,19",4,"5,59","0,38","1,42",pfizer
BPA básico: crecimiento de actividades continuadas,"-37,92%","+235,28%","+39,77%","-93,24%","+274,43%",pfizer
BPA diluido: Crecimiento de actividades continuadas,"1,18","3,93","5,47","0,37","1,41",pfizer
BPA diluido: Actividades continuadas,"-37,46%","+233,05%","+39,19%","-93,24%","+281,08%",pfizer
Promedio ponderado básico de acciones en circulación,5.555,5.601,5.608,5.643,5.664,pfizer
Promedio ponderado diluido de acciones en circulación,5.632,5.708,5.733,5.709,5.700,pfizer
Dividendo por acción,"1,52","1,56","1,6","1,64","1,68",pfizer
Crecimiento del dividendo por acción,"+5,56%","+2,63%","+2,56%","+2,5%","+2,44%",pfizer
EBITDA,14.455,32.084,44.869,12.575,23.322,pfizer
Crecimiento del EBITDA,"+4,32%","+121,96%","+39,85%","-71,97%","+85,46%",pfizer
Margen EBITDA %,"34,71%","39,47%","44,35%","21,12%","36,65%",pfizer
EBIT,9.791,26.980,39.841,6.317,16.328,pfizer
