indicador,202031/12,202131/12,202231/12,202331/12,202431/12,seccion
Efectivo y equivalentes,6.795,9.684,9.519,9.366,10.828,activo_corriente
Crecimiento de efectivo y equivalentes,"+4,86%","+42,52%","-1,7%","-1,61%","+15,61%",activo_corriente
Inversiones a corto plazo,4.119,2.941,2.112,4.297,3.743,activo_corriente
Créditos totales,3.144,3.512,3.487,3.410,3.569,activo_corriente
Total de cuentas por cobrar,3.144,3.512,3.487,3.410,3.569,activo_corriente
Otros créditos,-,-,-,-,-,activo_corriente
Inventario,3.266,3.414,4.233,4.424,4.728,activo_corriente
Gastos pagados por adelantado,1.764,1.634,2.432,2.932,2.526,activo_corriente
"División financiera, préstamos y arrendamientos corrientes",-,-,-,-,-,activo_corriente
"División financiera, total de otros activos corrientes",-,-,-,-,-,activo_corriente
Otros activos corrientes,152,1.359,808,2.303,603,activo_corriente
Efectivo restringido,-,341,-,-,-,activo_corriente
Total de otros activos corrientes,152,1.018,808,2.303,603,activo_corriente
Crecimiento de activos totales,"+1,06%","+8,09%","-1,69%","+5,33%","+2,91%",activo_total
"Planta, propiedad y equipo, neto",12.325,11.338,11.247,10.564,11.485,activo_total
Inmovilizado material bruto,21.248,20.280,20.481,19.797,21.055,activo_total
Amortización acumulada,-8.923,-8.942,-9.234,-9.233,-9.570,activo_total
Inversiones a largo plazo,22.311,20.540,20.290,21.644,20.141,activo_total
Activos intangibles,28.550,34.613,33.631,32.707,31.440,activo_total
Fondo de comercio,17.506,19.363,18.782,18.358,18.139,activo_total
"Otros intangibles, total",11.044,15.250,14.849,14.349,13.301,activo_total
"División financiera, préstamos y arrendamientos a largo plazo",-,-,-,-,-,activo_total
Total de otros activos,4.870,5.318,5.004,6.056,11.486,activo_total
Préstamos por cobrar a largo plazo,-,-,-,-,-,activo_total
Cuentas por cobrar a largo plazo,-,-,-,-,-,activo_total
Activos por impuestos diferidos a largo plazo,2.460,2.129,1.746,1.561,1.319,activo_total
Cargos diferidos a largo plazo,-,-,-,-,-,activo_total
Total de otros activos a largo plazo,2.410,3.189,3.258,4.495,10.167,activo_total
Total de cuentas por pagar,3.517,4.602,5.307,5.590,5.468,pasivo_corriente
Total de gastos devengados,6.079,8.534,10.101,9.534,9.831,pasivo_corriente
Préstamos a corto plazo,2.183,3.307,2.373,4.557,1.499,pasivo_corriente
Parte actual de la deuda a largo plazo/arrendamientos,812,1.648,740,2.321,938,pasivo_corriente
Parte actual de la deuda a largo plazo,490,1.338,399,1.960,648,pasivo_corriente
Parte actual de arrendamientos,322,310,341,361,290,pasivo_corriente
Total de otros pasivos corrientes,2.010,1.859,1.203,1.569,7.513,pasivo_corriente
Impuestos corrientes sobre la renta a pagar,788,686,1.203,1.569,1.387,pasivo_corriente
total de ingresos corrientes no devengados,-,-,-,-,-,pasivo_corriente
Otros pasivos corrientes,1.222,1.173,-,-,6.126,pasivo_corriente
Crecimiento del pasivo total,"+1,12%","+5,27%","-3,68%","+4,91%","+5,63%",pasivo_total
Deuda a largo plazo,40.125,38.130,38.053,36.660,43.297,pasivo_total
Arrendamientos a largo plazo,1.300,1.161,1.113,1.001,923,pasivo_total
Total de otros pasivos,9.986,10.253,8.047,8.991,4.708,pasivo_total
Ingresos no devengados no corrientes,-,-,-,-,-,pasivo_total
Pensiones y otras prestaciones posteriores a la jubilación,2.164,1.409,855,877,871,pasivo_total
Pasivos por impuestos no corrientes diferidos,1.833,2.821,2.914,2.639,2.469,pasivo_total
Otros pasivos no corrientes,5.989,6.023,4.278,5.475,1.368,pasivo_total
Total de acciones preferentes,-,-,-,-,-,patrimonio_neto
Acciones preferentes reembolsables,-,-,-,-,-,patrimonio_neto
Acciones preferentes no reembolsables,-,-,-,-,-,patrimonio_neto
Acciones preferentes convertibles,-,-,-,-,-,patrimonio_neto
Acciones ordinarias y APIC,19.361,19.876,20.582,20.969,21.561,patrimonio_neto
Total de acciones ordinarias,1.760,1.760,1.760,1.760,1.760,patrimonio_neto
Capital pagado adicional,17.601,18.116,18.822,19.209,19.801,patrimonio_neto
Ganancias retenidas,66.555,69.094,71.019,73.782,76.054,patrimonio_neto
Acciones propias y otras,-66.617,-65.971,-67.496,-68.810,-72.759,patrimonio_neto
Acciones propias,-52.016,-51.641,-52.601,-54.535,-55.916,patrimonio_neto
Ingresos globales y otros,-14.601,-14.330,-14.895,-14.275,-16.843,patrimonio_neto
Intereses minoritarios,1.985,1.861,1.721,1.539,1.516,patrimonio_neto
Crecimiento de la deuda total,"+27,29%","-3,07%","-2,52%","+0,19%","+12,95%",crecimiento_deuda
