indicador,Empresa,Industria,seccion
Ratio Precio/UtilidadTTM,"19,79","8,96",Ratios_valoración
Precio/VentasTTM,"3,38","2,44",Ratios_valoración
Precio/Flujo de cajaMRQ,"45,73","-5,67",Ratios_valoración
Precio/Flujo de caja libreTTM,"49,54","35,83",Ratios_valoración
Precio/Valor ContableMRQ,"21,51","3,15",Ratios_valoración
Precio/Valor Contable NetoMRQ,"-22,65","1,93",Ratios_valoración
Margen brutoTTM,"41,33%","30,29%",Rentabilidad
Margen bruto5YA,"43,16%","25,76%",Rentabilidad
Margen operativoTTM,"17,46%","25,39%",Rentabilidad
Margen operativo5YA,"18,36%",22%,Rentabilidad
Margen Antes de ImpuestosTTM,"19,65%","24,34%",Rentabilidad
Margen Antes de Impuestos5YA,"6,31%","20,01%",Rentabilidad
Margen de utilidad netoTTM,"16,98%","19,31%",Rentabilidad
Margen de utilidad neto5YA,"8,86%","16,2%",Rentabilidad
Beneficio/AcciónTTM,"44,62","183.385,7",Datos_por_acción
BPA BásicoANN,"7,28","47.263,39",Datos_por_acción
BPA DiluidoANN,"7,26","47.263,38",Datos_por_acción
Ratio Bolsa/LibrosMRQ,"7,12","304.772,97",Datos_por_acción
Valor Contable Neto/AcciónMRQ,"-6,76","244.846,97",Datos_por_acción
Efectivo/AcciónMRQ,"10,38","19.702,21",Datos_por_acción
Flujo de caja/AcciónTTM,"3,29","22.941,13",Datos_por_acción
Rentabilidad sobre fondos propiosTTM,"91,85%","19,15%",Eficacia_gestión
Rentabilidad sobre la inversión5YA,"24,59%","14,45%",Eficacia_gestión
Rentabilidad sobre los activosTTM,"5,93%","7,62%",Eficacia_gestión
Rentabilidad sobre los activos5YA,"7,18%","6,07%",Eficacia_gestión
Rentabilidad sobre la inversiónTTM,"13,69%","11,91%",Eficacia_gestión
Rentabilidad sobre fondos propios5YA,"11,75%","9,97%",Eficacia_gestión
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"-154,39%","108,56%",Crecimiento
BPA(TTM) vs TTM 1 Año AtrásTTM,"-147,86%","10,6%",Crecimiento
Crecimiento del BPA en 5 Años5YA,"-1,22%","67,85%",Crecimiento
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"0,38%","0,31%",Crecimiento
Ventas (TTM) vs TTM 1 Año AtrásTTM,"-0,14%","5,53%",Crecimiento
Crecimiento de las Ventas en 5 Años5YA,"-5,22%","6,28%",Crecimiento
Crecimiento del Consumo de Capital en 5 Años5YA,"-7,02%","4,51%",Crecimiento
Test ácidoMRQ,"0,98","1,69",Fuerza_financiera
Ratio de solvenciaMRQ,"1,41","2,07",Fuerza_financiera
Deuda a largo plazo/Total fondos propiosMRQ,"285,7%","54,47%",Fuerza_financiera
Total deuda/Total fondos propiosMRQ,"350,77%","65,7%",Fuerza_financiera
Rotación de ActivosTTM,"0,54","0,39",Eficiencia
Rotación de InventariosTTM,"3,77","3,8",Eficiencia
Ingresos /EmpleadoTTM,"0,4","14,11",Eficiencia
Beneficio neto/EmpleadoTTM,"0,07","1,77",Eficiencia
Rotación de Cuentas a CobrarTTM,"7,23","3,1",Eficiencia
Rentabilidad por DividendoANN,"2,36%","0,87%",Dividendo
Promedio de Rendimiento del Dividendo en 5 Años5YA,"3,51%","0,76%",Dividendo
Tasa de Crecimiento de los DividendosANN,"-53,33%","-0,13%",Dividendo
Ratio PayoutTTM,"47,5%","-62,24%",Dividendo
