indicador,Empresa,Industria,seccion
Ratio Precio/UtilidadTTM,"20,28","29,9",Ratios_valoración
Precio/VentasTTM,"6,48","12,26",Ratios_valoración
Precio/Flujo de cajaMRQ,"18,09","20,19",Ratios_valoración
Precio/Flujo de caja libreTTM,"40,07","62,27",Ratios_valoración
Precio/Valor ContableMRQ,"6,96","13,77",Ratios_valoración
Precio/Valor Contable NetoMRQ,"7,71","21,9",Ratios_valoración
Margen brutoTTM,"58,2%","65,28%",Rentabilidad
Margen bruto5YA,"56,14%","60,24%",Rentabilidad
Margen operativoTTM,"32,62%","23,36%",Rentabilidad
Margen operativo5YA,"27,93%","2,02%",Rentabilidad
Margen Antes de ImpuestosTTM,"34,23%","21,3%",Rentabilidad
Margen Antes de Impuestos5YA,"29,78%","-3,76%",Rentabilidad
Margen de utilidad netoTTM,"28,6%","16,89%",Rentabilidad
Margen de utilidad neto5YA,"25,08%","-8,01%",Rentabilidad
Beneficio/AcciónTTM,"28,41","65,3",Datos_por_acción
BPA BásicoANN,"8,13","10,92",Datos_por_acción
BPA DiluidoANN,"8,04","10,72",Datos_por_acción
Ratio Bolsa/LibrosMRQ,"26,62","54,14",Datos_por_acción
Valor Contable Neto/AcciónMRQ,"24,01","31,82",Datos_por_acción
Efectivo/AcciónMRQ,"1,92","15,08",Datos_por_acción
Flujo de caja/AcciónTTM,"10,07","18,06",Datos_por_acción
Rentabilidad sobre fondos propiosTTM,"32,91%","9,11%",Eficacia_gestión
Rentabilidad sobre la inversión5YA,"26,99%","39,26%",Eficacia_gestión
Rentabilidad sobre los activosTTM,"16,74%","15,43%",Eficacia_gestión
Rentabilidad sobre los activos5YA,"13,3%","11,78%",Eficacia_gestión
Rentabilidad sobre la inversiónTTM,"21,42%","21,27%",Eficacia_gestión
Rentabilidad sobre fondos propios5YA,"17,02%","16,75%",Eficacia_gestión
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"30,91%","60,49%",Crecimiento
BPA(TTM) vs TTM 1 Año AtrásTTM,"38,67%","55,39%",Crecimiento
Crecimiento del BPA en 5 Años5YA,"26,76%","16,37%",Crecimiento
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"11,77%","13,75%",Crecimiento
Ventas (TTM) vs TTM 1 Año AtrásTTM,"13,87%","14,78%",Crecimiento
Crecimiento de las Ventas en 5 Años5YA,"16,68%","17,73%",Crecimiento
Crecimiento del Consumo de Capital en 5 Años5YA,"17,41%","12,09%",Crecimiento
Test ácidoMRQ,"1,66","1,67",Fuerza_financiera
Ratio de solvenciaMRQ,"1,84","1,92",Fuerza_financiera
Deuda a largo plazo/Total fondos propiosMRQ,"3,35%","50,65%",Fuerza_financiera
Total deuda/Total fondos propiosMRQ,"8,66%","61,81%",Fuerza_financiera
Rotación de ActivosTTM,"0,82","0,65",Eficiencia
Rotación de InventariosTTM,"42,89","43,16",Eficiencia
Ingresos /EmpleadoTTM,"1,91","1,99",Eficiencia
Beneficio neto/EmpleadoTTM,"0,55","0,47",Eficiencia
Rotación de Cuentas a CobrarTTM,"6,98","11,05",Eficiencia
Rentabilidad por DividendoANN,"0,43%","0,43%",Dividendo
Promedio de Rendimiento del Dividendo en 5 Años5YA,"0,43%","0,49%",Dividendo
Tasa de Crecimiento de los DividendosANN,-,"3,27%",Dividendo
Ratio PayoutTTM,"7,35%","17,04%",Dividendo
