indicador,Empresa,Industria,seccion
Ratio Precio/UtilidadTTM,"30,89","29,9",Ratios_valoración
Precio/VentasTTM,"11,71","12,26",Ratios_valoración
Precio/Flujo de cajaMRQ,"24,41","20,19",Ratios_valoración
Precio/Flujo de caja libreTTM,59,"62,27",Ratios_valoración
Precio/Valor ContableMRQ,"10,13","13,77",Ratios_valoración
Precio/Valor Contable NetoMRQ,"19,39","21,9",Ratios_valoración
Margen brutoTTM,"69,41%","65,28%",Rentabilidad
Margen bruto5YA,"68,77%","60,24%",Rentabilidad
Margen operativoTTM,"44,96%","23,36%",Rentabilidad
Margen operativo5YA,"41,43%","2,02%",Rentabilidad
Margen Antes de ImpuestosTTM,"43,4%","21,3%",Rentabilidad
Margen Antes de Impuestos5YA,"41,55%","-3,76%",Rentabilidad
Margen de utilidad netoTTM,"35,43%","16,89%",Rentabilidad
Margen de utilidad neto5YA,"34,84%","-8,01%",Rentabilidad
Beneficio/AcciónTTM,"35,22","65,3",Datos_por_acción
BPA BásicoANN,"11,86","10,92",Datos_por_acción
BPA DiluidoANN,"11,8","10,72",Datos_por_acción
Ratio Bolsa/LibrosMRQ,"40,71","54,14",Datos_por_acción
Valor Contable Neto/AcciónMRQ,"21,27","31,82",Datos_por_acción
Efectivo/AcciónMRQ,"2,35","15,08",Datos_por_acción
Flujo de caja/AcciónTTM,"16,81","18,06",Datos_por_acción
Rentabilidad sobre fondos propiosTTM,"34,29%","9,11%",Eficacia_gestión
Rentabilidad sobre la inversión5YA,"42,07%","39,26%",Eficacia_gestión
Rentabilidad sobre los activosTTM,"14,65%","15,43%",Eficacia_gestión
Rentabilidad sobre los activos5YA,"13,8%","11,78%",Eficacia_gestión
Rentabilidad sobre la inversiónTTM,"19,48%","21,27%",Eficacia_gestión
Rentabilidad sobre fondos propios5YA,"20,33%","16,75%",Eficacia_gestión
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"10,24%","60,49%",Crecimiento
BPA(TTM) vs TTM 1 Año AtrásTTM,"12,2%","55,39%",Crecimiento
Crecimiento del BPA en 5 Años5YA,"18,45%","16,37%",Crecimiento
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"12,27%","13,75%",Crecimiento
Ventas (TTM) vs TTM 1 Año AtrásTTM,"15,04%","14,78%",Crecimiento
Crecimiento de las Ventas en 5 Años5YA,"14,26%","17,73%",Crecimiento
Crecimiento del Consumo de Capital en 5 Años5YA,"26,14%","12,09%",Crecimiento
Test ácidoMRQ,"1,2","1,67",Fuerza_financiera
Ratio de solvenciaMRQ,"1,35","1,92",Fuerza_financiera
Deuda a largo plazo/Total fondos propiosMRQ,"13,12%","50,65%",Fuerza_financiera
Total deuda/Total fondos propiosMRQ,34%,"61,81%",Fuerza_financiera
Rotación de ActivosTTM,"0,52","0,65",Eficiencia
Rotación de InventariosTTM,"63,46","43,16",Eficiencia
Ingresos /EmpleadoTTM,"1,15","1,99",Eficiencia
Beneficio neto/EmpleadoTTM,"0,41","0,47",Eficiencia
Rotación de Cuentas a CobrarTTM,"5,75","11,05",Eficiencia
Rentabilidad por DividendoANN,"0,73%","0,43%",Dividendo
Promedio de Rendimiento del Dividendo en 5 Años5YA,"0,63%","0,49%",Dividendo
Tasa de Crecimiento de los DividendosANN,"10,67%","3,27%",Dividendo
Ratio PayoutTTM,"24,68%","17,04%",Dividendo
