indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,32.184,35.355,26.161,24.610,24.575,3m-co
Crecimiento de los ingresos totales,"+0,15%","+9,85%",-26%,"-5,93%","-0,14%",3m-co
Coste de los ingresos,16.499,18.795,15.853,14.894,14.417,3m-co
Beneficio bruto,15.685,16.560,10.308,9.716,10.158,3m-co
Crecimiento del beneficio bruto,"+4,07%","+5,58%","-37,75%","-5,74%","+4,55%",3m-co
Margen de beneficio bruto %,"48,74%","46,84%","39,4%","39,48%","41,33%",3m-co
Total de otros gastos operativos,8.529,8.806,6.960,5.435,5.868,3m-co
Crecmiento total de otros gastos operativos,,,,,,3m-co
Gastos de I+D,,,,,,3m-co
"Gastos de venta, generales y administrativos",,,,,,3m-co
Otros gastos operativos,,,,,,3m-co
Margen neto,7.156,7.754,3.348,4.281,4.290,3m-co
Crecimiento del margen neto,"+13,5%","+8,36%","-56,82%","+27,87%","+0,21%",3m-co
Margen EBIT %,"22,23%","21,93%","12,8%","17,4%","17,46%",3m-co
Gastos netos por intereses,-500,-462,-397,-691,-739,3m-co
Crecimiento de gastos netos por intereses,"-35,87%","+7,6%","+14,07%","-74,06%","-6,95%",3m-co
Total de gastos de intereses,-529,-488,-462,-941,-1.191,3m-co
Ingresos por intereses e inversiones,29,26,65,250,452,3m-co
Total de otros gastos no operativos,-5,10,11,18,9,3m-co
EBT excepto elementos no habituales,6.651,7.302,2.962,3.608,3.560,3m-co
Ganancia (pérdida) de la venta de activos,389,-,2.724,36,-,3m-co
Total de otras partidas no habituales,-,-,-1.200,-14.500,-,3m-co
EBT incluyendo las partidas inusuales,6.790,7.214,4.215,-11.253,4.828,3m-co
Crecimiento del EBT incluidas las partidas inusuales,"+20,33%","+6,24%","-41,57%","-366,98%","+142,9%",3m-co
Margen del EBT incluidas las partidas inusuales,"21,1%","20,4%","16,11%","-45,73%","19,65%",3m-co
Impuesto sobre la renta,1.337,1.285,188,-2.867,804,3m-co
Beneficios netos para la empresa,5.453,5.929,5.791,-6.979,4.188,3m-co
Intereses minoritarios,-4,-8,-14,-16,-15,3m-co
Beneficio neto,5.449,5.921,5.777,-6.995,4.173,3m-co
Crecimiento del beneficio neto,"+20,63%","+8,66%","-2,43%","-221,08%","+159,66%",3m-co
Margen del beneficio neto %,"16,93%","16,75%","22,08%","-28,42%","16,98%",3m-co
Dividendo preferente y otros ajustes,-,-,-,-,-,3m-co
Beneficio neto sobre ingresos ordinarios,5.449,5.921,4.013,-8.402,4.009,3m-co
BPA básico: Crecimiento de actividades continuadas,"9,43","10,23","7,09","-15,17","7,28",3m-co
BPA básico: crecimiento de actividades continuadas,"+20,51%","+8,4%","-30,67%","-313,94%","+147,98%",3m-co
BPA diluido: Crecimiento de actividades continuadas,"9,36","10,12","7,07","-15,17","7,26",3m-co
BPA diluido: Actividades continuadas,"+21,24%","+8,12%","-30,14%","-314,57%","+147,86%",3m-co
Promedio ponderado básico de acciones en circulación,"577,6",579,566,"553,9","550,8",3m-co
Promedio ponderado diluido de acciones en circulación,"582,2","585,3","567,6","553,9","552,4",3m-co
Dividendo por acción,"5,88","5,92","5,96",6,"3,61",3m-co
Crecimiento del dividendo por acción,"+2,08%","+0,68%","+0,68%","+0,67%","-39,83%",3m-co
EBITDA,9.067,9.669,4.602,5.710,5.470,3m-co
Crecimiento del EBITDA,"+14,8%","+6,64%","-52,4%","+24,08%","-4,2%",3m-co
Margen EBITDA %,"28,17%","27,35%","17,59%","23,2%","22,26%",3m-co
EBIT,7.156,7.754,3.348,4.281,4.290,3m-co
