indicador,202026/09,202125/09,202224/09,202330/09,202428/09,company
Ingresos totales,274.515,365.817,394.328,383.285,391.035,apple-computer-inc
Crecimiento de los ingresos totales,"+5,51%","+33,26%","+7,79%","-2,8%","+2,02%",apple-computer-inc
Coste de los ingresos,169.559,212.981,223.546,214.137,210.352,apple-computer-inc
Beneficio bruto,104.956,152.836,170.782,169.148,180.683,apple-computer-inc
Crecimiento del beneficio bruto,"+6,67%","+45,62%","+11,74%","-0,96%","+6,82%",apple-computer-inc
Margen de beneficio bruto %,"38,23%","41,78%","43,31%","44,13%","46,21%",apple-computer-inc
Total de otros gastos operativos,38.668,43.887,51.345,54.847,57.467,apple-computer-inc
Crecmiento total de otros gastos operativos,,,,,,apple-computer-inc
Gastos de I+D,,,,,,apple-computer-inc
"Gastos de venta, generales y administrativos",,,,,,apple-computer-inc
Otros gastos operativos,,,,,,apple-computer-inc
Margen neto,66.288,108.949,119.437,114.301,123.216,apple-computer-inc
Crecimiento del margen neto,"+3,69%","+64,36%","+9,63%","-4,3%","+7,8%",apple-computer-inc
Margen EBIT %,"24,15%","29,78%","30,29%","29,82%","31,51%",apple-computer-inc
Gastos netos por intereses,890,198,-,-,-,apple-computer-inc
Crecimiento de gastos netos por intereses,"-35,74%","-77,75%",-,-,-,apple-computer-inc
Total de gastos de intereses,-2.873,-2.645,-,-,-,apple-computer-inc
Ingresos por intereses e inversiones,3.763,2.843,-,-,-,apple-computer-inc
Total de otros gastos no operativos,-87,60,-334,-565,269,apple-computer-inc
EBT excepto elementos no habituales,67.091,109.207,119.103,113.736,123.485,apple-computer-inc
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,apple-computer-inc
Total de otras partidas no habituales,-,-,-,-,-,apple-computer-inc
EBT incluyendo las partidas inusuales,67.091,109.207,119.103,113.736,123.485,apple-computer-inc
Crecimiento del EBT incluidas las partidas inusuales,"+2,06%","+62,77%","+9,06%","-4,51%","+8,57%",apple-computer-inc
Margen del EBT incluidas las partidas inusuales,"24,44%","29,85%","30,2%","29,67%","31,58%",apple-computer-inc
Impuesto sobre la renta,9.680,14.527,19.300,16.741,29.749,apple-computer-inc
Beneficios netos para la empresa,57.411,94.680,99.803,96.995,93.736,apple-computer-inc
Intereses minoritarios,-,-,-,-,-,apple-computer-inc
Beneficio neto,57.411,94.680,99.803,96.995,93.736,apple-computer-inc
Crecimiento del beneficio neto,"+3,9%","+64,92%","+5,41%","-2,81%","-3,36%",apple-computer-inc
Margen del beneficio neto %,"20,91%","25,88%","25,31%","25,31%","23,97%",apple-computer-inc
Dividendo preferente y otros ajustes,-,-,-,-,-,apple-computer-inc
Beneficio neto sobre ingresos ordinarios,57.411,94.680,99.803,96.995,93.736,apple-computer-inc
BPA básico: Crecimiento de actividades continuadas,"3,31","5,67","6,15","6,16","6,11",apple-computer-inc
BPA básico: crecimiento de actividades continuadas,"+10,6%","+71,34%","+8,57%","+0,1%","-0,84%",apple-computer-inc
BPA diluido: Crecimiento de actividades continuadas,"3,28","5,61","6,11","6,13","6,08",apple-computer-inc
BPA diluido: Actividades continuadas,"+10,44%","+71,04%","+8,91%","+0,33%","-0,82%",apple-computer-inc
Promedio ponderado básico de acciones en circulación,"17.352,12","16.701,27","16.215,96","15.744,23","15.343,78",apple-computer-inc
Promedio ponderado diluido de acciones en circulación,"17.528,21","16.864,92","16.325,82","15.812,55","15.408,1",apple-computer-inc
Dividendo por acción,"0,8","0,85","0,9","0,94","0,98",apple-computer-inc
Crecimiento del dividendo por acción,+6%,"+6,92%","+5,88%","+4,44%","+4,26%",apple-computer-inc
EBITDA,77.344,120.233,130.541,125.820,134.661,apple-computer-inc
Crecimiento del EBITDA,"+1,13%","+55,45%","+8,57%","-3,62%","+7,03%",apple-computer-inc
Margen EBITDA %,"28,17%","32,87%","33,1%","32,83%","34,44%",apple-computer-inc
EBIT,66.288,108.949,119.437,114.301,123.216,apple-computer-inc
