indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,245.579,276.185,302.020,364.482,371.433,berkshire-hathaway-inc
Crecimiento de los ingresos totales,"-3,55%","+12,46%","+9,35%","+20,68%","+1,91%",berkshire-hathaway-inc
Coste de los ingresos,175.789,161.038,330.031,241.286,257.698,berkshire-hathaway-inc
Beneficio bruto,69.790,115.147,-28.011,123.196,113.735,berkshire-hathaway-inc
Crecimiento del beneficio bruto,"-33,9%","+64,99%","-124,33%","+539,81%","-7,68%",berkshire-hathaway-inc
Margen de beneficio bruto %,"28,42%","41,69%","-9,27%","33,8%","30,62%",berkshire-hathaway-inc
Total de otros gastos operativos,-,-,-,-,-,berkshire-hathaway-inc
Crecmiento total de otros gastos operativos,,,,,,berkshire-hathaway-inc
Gastos de I+D,,,,,,berkshire-hathaway-inc
"Gastos de venta, generales y administrativos",,,,,,berkshire-hathaway-inc
Otros gastos operativos,,,,,,berkshire-hathaway-inc
Margen neto,69.790,115.147,-28.011,123.196,113.735,berkshire-hathaway-inc
Crecimiento del margen neto,"-33,9%","+64,99%","-124,33%","+539,81%","-7,68%",berkshire-hathaway-inc
Margen EBIT %,"28,42%","41,69%","-9,27%","33,8%","30,62%",berkshire-hathaway-inc
Gastos netos por intereses,-4.083,-4.172,-4.352,-5.003,-5.200,berkshire-hathaway-inc
Crecimiento de gastos netos por intereses,"-3,08%","-2,18%","-4,31%","-14,96%","-3,94%",berkshire-hathaway-inc
Total de gastos de intereses,-4.083,-4.172,-4.352,-5.003,-5.200,berkshire-hathaway-inc
Ingresos por intereses e inversiones,-,-,-,-,-,berkshire-hathaway-inc
Total de otros gastos no operativos,657,886,1.863,1.973,1.841,berkshire-hathaway-inc
EBT excepto elementos no habituales,66.364,111.861,-30.500,120.166,110.376,berkshire-hathaway-inc
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,berkshire-hathaway-inc
Total de otras partidas no habituales,-638,-,-,-,-,berkshire-hathaway-inc
EBT incluyendo las partidas inusuales,55.693,111.861,-30.500,120.166,110.376,berkshire-hathaway-inc
Crecimiento del EBT incluidas las partidas inusuales,"-45,77%","+100,85%","-127,27%","+493,99%","-8,15%",berkshire-hathaway-inc
Margen del EBT incluidas las partidas inusuales,"22,68%","40,5%","-10,1%","32,97%","29,72%",berkshire-hathaway-inc
Impuesto sobre la renta,12.440,20.912,-8.502,23.019,20.815,berkshire-hathaway-inc
Beneficios netos para la empresa,43.253,90.949,-21.998,97.147,89.561,berkshire-hathaway-inc
Intereses minoritarios,-732,-1.012,-761,-924,-566,berkshire-hathaway-inc
Beneficio neto,42.521,89.937,-22.759,96.223,88.995,berkshire-hathaway-inc
Crecimiento del beneficio neto,"-47,77%","+111,51%","-125,31%","+522,79%","-7,51%",berkshire-hathaway-inc
Margen del beneficio neto %,"17,31%","32,56%","-7,54%","26,4%","23,96%",berkshire-hathaway-inc
Dividendo preferente y otros ajustes,-,-,-,-,-,berkshire-hathaway-inc
Beneficio neto sobre ingresos ordinarios,42.521,89.937,-22.759,96.223,88.995,berkshire-hathaway-inc
BPA básico: Crecimiento de actividades continuadas,"26.667,81","59.553,83","-15.494,16","66.411,99","61.900,09",berkshire-hathaway-inc
BPA básico: crecimiento de actividades continuadas,"-46,48%","+123,32%","-126,02%","+528,63%","-6,79%",berkshire-hathaway-inc
BPA diluido: Crecimiento de actividades continuadas,"26.667,81","59.553,83","-15.494,16","66.411,99","61.900,09",berkshire-hathaway-inc
BPA diluido: Actividades continuadas,"-46,48%","+123,32%","-126,02%","+528,63%","-6,79%",berkshire-hathaway-inc
Promedio ponderado básico de acciones en circulación,"1,59","1,51","1,47","1,45","1,44",berkshire-hathaway-inc
Promedio ponderado diluido de acciones en circulación,"1,59","1,51","1,47","1,45","1,44",berkshire-hathaway-inc
Dividendo por acción,-,-,-,-,-,berkshire-hathaway-inc
Crecimiento del dividendo por acción,-,-,-,-,-,berkshire-hathaway-inc
EBITDA,80.386,125.865,-17.112,135.682,126.590,berkshire-hathaway-inc
Crecimiento del EBITDA,"-30,49%","+56,58%","-113,6%","+892,91%","-6,7%",berkshire-hathaway-inc
Margen EBITDA %,"32,73%","45,57%","-5,67%","37,23%","34,08%",berkshire-hathaway-inc
EBIT,69.790,115.147,-28.011,123.196,113.735,berkshire-hathaway-inc
