indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,94.005,155.067,235.916,194.799,195.568,chevron
Crecimiento de los ingresos totales,"-32,55%","+64,96%","+52,14%","-17,43%","+0,39%",chevron
Coste de los ingresos,51.756,91.483,144.225,118.268,118.269,chevron
Beneficio bruto,42.249,63.584,91.691,76.531,77.299,chevron
Crecimiento del beneficio bruto,"-29,29%","+50,5%","+44,2%","-16,53%",+1%,chevron
Margen de beneficio bruto %,"44,94%",41%,"38,87%","39,29%","39,53%",chevron
Total de otros gastos operativos,46.501,47.497,49.686,49.567,54.000,chevron
Crecmiento total de otros gastos operativos,,,,,,chevron
Gastos de I+D,,,,,,chevron
"Gastos de venta, generales y administrativos",,,,,,chevron
Otros gastos operativos,,,,,,chevron
Margen neto,-4.252,16.087,42.005,26.964,23.299,chevron
Crecimiento del margen neto,"-140,58%","+478,34%","+161,11%","-35,81%","-13,59%",chevron
Margen EBIT %,"-4,52%","10,37%","17,81%","13,84%","11,91%",chevron
Gastos netos por intereses,-697,-712,-516,-469,-594,chevron
Crecimiento de gastos netos por intereses,"+12,66%","-2,15%","+27,53%","+9,11%","-26,65%",chevron
Total de gastos de intereses,-697,-712,-516,-469,-594,chevron
Ingresos por intereses e inversiones,-,-,-,-,-,chevron
Total de otros gastos no operativos,-472,5.657,8.585,5.131,4.596,chevron
EBT excepto elementos no habituales,-5.421,21.032,50.074,31.626,27.301,chevron
Ganancia (pérdida) de la venta de activos,760,1.021,550,138,1.685,chevron
Total de otras partidas no habituales,-2.792,-414,-950,-2.180,-500,chevron
EBT incluyendo las partidas inusuales,-7.453,21.639,49.674,29.584,27.506,chevron
Crecimiento del EBT incluidas las partidas inusuales,"-234,63%","+390,34%","+129,56%","-40,44%","-7,02%",chevron
Margen del EBT incluidas las partidas inusuales,"-7,93%","13,95%","21,06%","15,19%","14,06%",chevron
Impuesto sobre la renta,-1.892,5.950,14.066,8.173,9.757,chevron
Beneficios netos para la empresa,-5.561,15.689,35.608,21.411,17.749,chevron
Intereses minoritarios,18,-64,-143,-42,-88,chevron
Beneficio neto,-5.543,15.625,35.465,21.369,17.661,chevron
Crecimiento del beneficio neto,"-289,57%","+381,89%","+126,98%","-39,75%","-17,35%",chevron
Margen del beneficio neto %,"-5,9%","10,08%","15,03%","10,97%","9,03%",chevron
Dividendo preferente y otros ajustes,-,-,-,-,-,chevron
Beneficio neto sobre ingresos ordinarios,-5.543,15.625,35.465,21.369,17.661,chevron
BPA básico: Crecimiento de actividades continuadas,"-2,96","8,16","18,37","11,41","9,76",chevron
BPA básico: crecimiento de actividades continuadas,"-290,79%","+375,12%","+125,21%","-37,88%","-14,48%",chevron
BPA diluido: Crecimiento de actividades continuadas,"-2,96","8,14","18,28","11,36","9,72",chevron
BPA diluido: Actividades continuadas,"-292,48%","+374,61%","+124,57%","-37,86%","-14,44%",chevron
Promedio ponderado básico de acciones en circulación,1.870,1.916,1.931,1.873,1.810,chevron
Promedio ponderado diluido de acciones en circulación,1.870,1.920,1.940,1.880,1.817,chevron
Dividendo por acción,"5,16","5,31","5,68","6,04","6,52",chevron
Crecimiento del dividendo por acción,"+8,4%","+2,91%","+6,97%","+6,34%","+7,95%",chevron
EBITDA,13.131,33.632,57.447,42.177,40.081,chevron
Crecimiento del EBITDA,"-54,76%","+156,13%","+70,81%","-26,58%","-4,97%",chevron
Margen EBITDA %,"13,97%","21,69%","24,35%","21,65%","20,49%",chevron
EBIT,-4.252,16.087,42.005,26.964,23.299,chevron
