indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,182.527,257.637,282.836,307.394,350.018,google-inc
Crecimiento de los ingresos totales,"+12,77%","+41,15%","+9,78%","+8,68%","+13,87%",google-inc
Coste de los ingresos,84.732,110.939,126.203,133.332,146.306,google-inc
Beneficio bruto,97.795,146.698,156.633,174.062,203.712,google-inc
Crecimiento del beneficio bruto,"+8,71%","+50,01%","+6,77%","+11,13%","+17,03%",google-inc
Margen de beneficio bruto %,"53,58%","56,94%","55,38%","56,63%","58,2%",google-inc
Total de otros gastos operativos,56.571,67.984,81.791,89.769,89.526,google-inc
Crecmiento total de otros gastos operativos,,,,,,google-inc
Gastos de I+D,,,,,,google-inc
"Gastos de venta, generales y administrativos",,,,,,google-inc
Otros gastos operativos,,,,,,google-inc
Margen neto,41.224,78.714,74.842,84.293,114.186,google-inc
Crecimiento del margen neto,"+14,74%","+90,94%","-4,92%","+12,63%","+35,46%",google-inc
Margen EBIT %,"22,59%","30,55%","26,46%","27,42%","32,62%",google-inc
Gastos netos por intereses,1.730,1.153,1.817,3.557,4.214,google-inc
Crecimiento de gastos netos por intereses,"-25,66%","-33,35%","+57,59%","+95,76%","+18,47%",google-inc
Total de gastos de intereses,-135,-346,-357,-308,-268,google-inc
Ingresos por intereses e inversiones,1.865,1.499,2.174,3.865,4.482,google-inc
Total de otros gastos no operativos,-1.189,-1.403,188,-1.310,540,google-inc
EBT excepto elementos no habituales,41.765,78.464,76.847,86.540,118.940,google-inc
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,google-inc
Total de otras partidas no habituales,-,-,-,-,-,google-inc
EBT incluyendo las partidas inusuales,48.082,90.734,71.328,85.717,119.815,google-inc
Crecimiento del EBT incluidas las partidas inusuales,"+21,34%","+88,71%","-21,39%","+20,17%","+39,78%",google-inc
Margen del EBT incluidas las partidas inusuales,"26,34%","35,22%","25,22%","27,89%","34,23%",google-inc
Impuesto sobre la renta,7.813,14.701,11.356,11.922,19.697,google-inc
Beneficios netos para la empresa,40.269,76.033,59.972,73.795,100.118,google-inc
Intereses minoritarios,-,-,-,-,-,google-inc
Beneficio neto,40.269,76.033,59.972,73.795,100.118,google-inc
Crecimiento del beneficio neto,"+17,26%","+88,81%","-21,12%","+23,05%","+35,67%",google-inc
Margen del beneficio neto %,"22,06%","29,51%","21,2%","24,01%","28,6%",google-inc
Dividendo preferente y otros ajustes,-,-,-,-,-,google-inc
Beneficio neto sobre ingresos ordinarios,40.269,76.033,59.972,73.795,100.118,google-inc
BPA básico: Crecimiento de actividades continuadas,"2,96","5,69","4,59","5,84","8,13",google-inc
BPA básico: crecimiento de actividades continuadas,"+19,29%","+92,53%","-19,37%","+27,27%","+39,1%",google-inc
BPA diluido: Crecimiento de actividades continuadas,"2,93","5,61","4,56","5,8","8,04",google-inc
BPA diluido: Actividades continuadas,"+19,22%","+91,43%","-18,76%","+27,28%","+38,67%",google-inc
Promedio ponderado básico de acciones en circulación,13.616,13.353,13.063,12.630,12.319,google-inc
Promedio ponderado diluido de acciones en circulación,13.741,13.553,13.159,12.722,12.447,google-inc
Dividendo por acción,-,-,-,-,"0,8",google-inc
Crecimiento del dividendo por acción,-,-,-,-,-,google-inc
EBITDA,54.903,88.987,88.317,96.239,129.497,google-inc
Crecimiento del EBITDA,"+15,39%","+62,08%","-0,75%","+8,97%","+34,56%",google-inc
Margen EBITDA %,"30,08%","34,54%","31,23%","31,31%",37%,google-inc
EBIT,41.224,78.714,74.842,84.293,114.186,google-inc
