indicador,202030/06,202130/06,202230/06,202330/06,202430/06,company
Ingresos totales,143.015,168.088,198.270,211.915,245.122,microsoft-corp
Crecimiento de los ingresos totales,"+13,65%","+17,53%","+17,96%","+6,88%","+15,67%",microsoft-corp
Coste de los ingresos,46.078,52.232,62.650,65.711,74.114,microsoft-corp
Beneficio bruto,96.937,115.856,135.620,146.204,171.008,microsoft-corp
Crecimiento del beneficio bruto,"+16,89%","+19,52%","+17,06%","+7,8%","+16,97%",microsoft-corp
Margen de beneficio bruto %,"67,78%","68,93%","68,4%","68,99%","69,76%",microsoft-corp
Total de otros gastos operativos,43.978,45.940,52.237,57.529,61.575,microsoft-corp
Crecmiento total de otros gastos operativos,,,,,,microsoft-corp
Gastos de I+D,,,,,,microsoft-corp
"Gastos de venta, generales y administrativos",,,,,,microsoft-corp
Otros gastos operativos,,,,,,microsoft-corp
Margen neto,52.959,69.916,83.383,88.675,109.433,microsoft-corp
Crecimiento del margen neto,"+23,28%","+32,02%","+19,26%","+6,35%","+23,41%",microsoft-corp
Margen EBIT %,"37,03%","41,59%","42,06%","41,84%","44,64%",microsoft-corp
Gastos netos por intereses,89,-199,47,999,174,microsoft-corp
Crecimiento de gastos netos por intereses,"+17,11%","-323,6%","+123,62%","+2.025,53%","-82,58%",microsoft-corp
Total de gastos de intereses,-2.591,-2.330,-2.047,-1.995,-2.983,microsoft-corp
Ingresos por intereses e inversiones,2.680,2.131,2.094,2.994,3.157,microsoft-corp
Total de otros gastos no operativos,-44,153,-188,-51,-1.525,microsoft-corp
EBT excepto elementos no habituales,53.004,69.870,83.242,89.623,108.082,microsoft-corp
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,microsoft-corp
Total de otras partidas no habituales,-,-,-,-,-,microsoft-corp
EBT incluyendo las partidas inusuales,53.036,71.102,83.716,89.311,107.787,microsoft-corp
Crecimiento del EBT incluidas las partidas inusuales,"+21,4%","+34,06%","+17,74%","+6,68%","+20,69%",microsoft-corp
Margen del EBT incluidas las partidas inusuales,"37,08%","42,3%","42,22%","42,14%","43,97%",microsoft-corp
Impuesto sobre la renta,8.755,9.831,10.978,16.950,19.651,microsoft-corp
Beneficios netos para la empresa,44.281,61.271,72.738,72.361,88.136,microsoft-corp
Intereses minoritarios,-,-,-,-,-,microsoft-corp
Beneficio neto,44.281,61.271,72.738,72.361,88.136,microsoft-corp
Crecimiento del beneficio neto,"+12,85%","+38,37%","+18,72%","-0,52%","+21,8%",microsoft-corp
Margen del beneficio neto %,"30,96%","36,45%","36,69%","34,15%","35,96%",microsoft-corp
Dividendo preferente y otros ajustes,-,-,-,-,-,microsoft-corp
Beneficio neto sobre ingresos ordinarios,44.281,61.271,72.738,72.361,88.136,microsoft-corp
BPA básico: Crecimiento de actividades continuadas,"5,82","8,12","9,7","9,72","11,86",microsoft-corp
BPA básico: crecimiento de actividades continuadas,"+13,78%","+39,52%","+19,52%","+0,15%","+22,05%",microsoft-corp
BPA diluido: Crecimiento de actividades continuadas,"5,76","8,05","9,65","9,68","11,8",microsoft-corp
BPA diluido: Actividades continuadas,"+13,83%","+39,76%","+19,88%","+0,31%","+21,9%",microsoft-corp
Promedio ponderado básico de acciones en circulación,7.610,7.547,7.496,7.446,7.431,microsoft-corp
Promedio ponderado diluido de acciones en circulación,7.683,7.608,7.540,7.472,7.469,microsoft-corp
Dividendo por acción,"2,04","2,24","2,48","2,72",3,microsoft-corp
Crecimiento del dividendo por acción,"+10,87%","+9,8%","+10,71%","+9,68%","+10,29%",microsoft-corp
EBITDA,65.259,80.816,97.983,102.175,129.433,microsoft-corp
Crecimiento del EBITDA,"+19,61%","+23,84%","+21,24%","+4,28%","+26,68%",microsoft-corp
Margen EBITDA %,"45,63%","48,08%","49,42%","48,22%","52,8%",microsoft-corp
EBIT,52.959,69.916,83.383,88.675,109.433,microsoft-corp
